Rank,Strategy,Combined_Score,Median_Monthly_%,Positive_Months_%,Total_Return_x,Benchmark_x,Outperformance_%,CAGR_%,MDD_%,Sharpe
129,SMA32_RSI35_75,0.0,-0.08768636580077649,41.05263157894737,3.220729418432003,252.02972995313297,-7725.237615764458,16.17727765793664,-41.24348461041352,0.5680502066025928
130,SMA32_RSI35_80,0.0,0.0,47.368421052631575,9.620858984077461,252.02972995313297,-2519.6177531574117,33.67520086050837,-40.58545416641772,0.9375308948317833
131,SMA32_RSI35_85,0.0,0.0,44.21052631578947,16.211523413758847,252.02972995313297,-1454.6332292203542,42.92325446886587,-41.435421976770684,1.0405809370788783
132,SMA32_RSI40_70,0.0,0.0,47.368421052631575,2.0079923828073403,252.02972995313297,-12451.3289846635,9.349038240283658,-37.94172864823382,0.34086160591063314
133,SMA32_RSI40_75,0.0,-0.0756363720003872,41.05263157894737,3.724266415542373,252.02972995313297,-6667.231498298419,18.361120130653276,-36.10491939892966,0.6357528481645749
134,SMA32_RSI40_80,0.0,0.0,48.421052631578945,11.125008452437125,252.02972995313297,-2165.434053651631,36.18796055907556,-37.89487916091788,1.0006876936303915
135,SMA32_RSI40_85,0.0,0.0,44.21052631578947,18.746074056738006,252.02972995313297,-1244.440063505161,45.60985446277337,-39.47884602978038,1.1017072955704061
136,SMA32_RSI45_70,0.0,0.0,49.473684210526315,2.121660115052615,252.02972995313297,-11778.892767274503,10.123696124678737,-41.7448599177089,0.3559256711501958
137,SMA32_RSI45_75,0.0,0.0,43.15789473684211,3.9350883894485387,252.02972995313297,-6304.677735547696,19.19962201773504,-38.821517153689825,0.6565414240257269
138,SMA32_RSI45_80,0.0,0.0,47.368421052631575,11.754769049551564,252.02972995313297,-2044.0636467693744,37.15275256003441,-36.543888417182444,1.0245539792883627
139,SMA32_RSI45_85,0.0,0.0,45.26315789473684,19.80724527669672,252.02972995313297,-1172.4118191722837,46.64139368452078,-36.41672186090427,1.1255383200191624
140,SMA33_RSI30_70,0.0,0.0,47.368421052631575,1.798441316401772,252.02972995313297,-13913.786697103964,7.814813408988264,-48.47445621303584,0.2811521216207519
141,SMA33_RSI30_75,0.0,0.0,42.10526315789473,3.3238100650970033,252.02972995313297,-7482.555110464101,16.647453439037243,-45.67313256227626,0.5757449289742119
142,SMA33_RSI30_80,0.0,0.0,48.421052631578945,9.928778165327522,252.02972995313297,-2438.376079679682,34.216191691464374,-39.340152834885345,0.9447613885787057
143,SMA33_RSI30_85,0.0,0.0,44.21052631578947,16.730379269004413,252.02972995313297,-1406.4197045434385,43.50167267733169,-41.12127960197363,1.0475909387558187
144,SMA33_RSI35_70,0.0,0.0,47.368421052631575,1.6950875295252157,252.02972995313297,-14768.242823054987,6.999830713700428,-48.47445621303584,0.2533361466037926
145,SMA33_RSI35_75,0.0,0.0,42.10526315789473,3.132795571628016,252.02972995313297,-7944.882731437245,15.765703955860166,-45.67313256227626,0.5504779943609157
146,SMA33_RSI35_80,0.0,0.0,48.421052631578945,9.358185834576911,252.02972995313297,-2593.1473087649724,33.20163840145367,-39.309316935345215,0.9227131899367687
147,SMA33_RSI35_85,0.0,0.0,44.21052631578947,15.768908890425594,252.02972995313297,-1498.2699355068112,42.41692953045786,-41.091349122552835,1.0265205253020795
148,SMA33_RSI40_70,0.0,0.0,47.368421052631575,1.9091953319593398,252.02972995313297,-13100.835228026865,8.644019543070014,-42.41663257428687,0.30988577781296284
149,SMA33_RSI40_75,0.0,-0.030580651618417054,41.05263157894737,3.5285013765692272,252.02972995313297,-7042.684756387492,17.544591604548266,-39.74651416933691,0.6066855749989535
150,SMA33_RSI40_80,0.0,0.0,47.368421052631575,10.54022544545914,252.02972995313297,-2291.1227635241003,35.24845141463857,-37.46504738464934,0.9758371338304755
151,SMA33_RSI40_85,0.0,0.0,44.21052631578947,17.7606918340818,252.02972995313297,-1319.0310394863202,44.6053472418243,-39.12327809281281,1.07805891774118
