Rank,Strategy,Return_x,Benchmark_x,Gap_%,CAGR_%,MDD_%,Sharpe
179,EMA8>SMA28+ROC15>0,89.98896091156519,252.02972995313297,-64.29430729132655,78.04619003429664,-34.46935277910539,1.4892807757364932
180,Trend_SMA30+ROC10>0%,89.78165246322413,252.02972995313297,-64.37656284442323,77.99355259616678,-37.14005402316112,1.489128152075008
181,Price>0%_SMA30+ROC10>0,89.78165246322413,252.02972995313297,-64.37656284442323,77.99355259616678,-37.14005402316112,1.489128152075008
182,AccelMom_SMA32+Mom15↑,89.66284292722695,252.02972995313297,-64.42370392417574,77.96333802731299,-27.058005959879683,1.7924636490823553
183,Trend_SMA30+ROC15>3%,89.50371636866885,252.02972995313297,-64.48684193515074,77.92281567054383,-38.77314393033229,1.4858690370478747
184,Trend_SMA28+ROC12>0%,89.41964606412006,252.02972995313297,-64.52019923175398,77.90138139277873,-43.77925463174675,1.4351685065550701
185,Price>1%_SMA30+ROC10>0,88.87536529015846,252.02972995313297,-64.73615818789094,77.7621868254786,-37.76012530166036,1.495943710861929
186,DualMom_ROC10&20+SMA30,87.73589881380904,252.02972995313297,-65.18827408571035,77.46835613505334,-47.03158651725362,1.470482891846838
187,Trend_SMA28+ROC15>2%,87.485699948596,252.02972995313297,-65.28754763778674,77.40339296792908,-35.78801456524247,1.4495452036696126
188,Price>2%_SMA28+ROC10>0,87.03489870351648,252.02972995313297,-65.4664159185897,77.28593424930665,-39.98379267915223,1.534969537819026
189,EMA12>SMA28+ROC15>0,86.96466565474205,252.02972995313297,-65.49428288840612,77.26758691553124,-36.98389666863148,1.4825524538714325
190,EMA10>SMA28+ROC15>0,86.71092959034281,252.02972995313297,-65.59495992537569,77.20119434635804,-36.26488585464499,1.4772544176107436
191,Trend_SMA32+ROC10>0%,85.85912311551898,252.02972995313297,-65.93293849440492,76.97706503901733,-36.36593740903712,1.5180379486982893
192,Price>0%_SMA32+ROC10>0,85.85912311551898,252.02972995313297,-65.93293849440492,76.97706503901733,-36.36593740903712,1.5180379486982893
193,Trend_SMA32+ROC15>3%,84.33500120613166,252.02972995313297,-66.5376774312243,76.57115201206946,-38.79906999219261,1.4824801355088526
194,Trend_SMA25+ROC15>2%,84.19878037021086,252.02972995313297,-66.59172694194915,76.53456228335303,-38.43607555576951,1.4041986321907973
195,AccelMom_SMA30+Mom15↑,81.3477102729185,252.02972995313297,-67.72297050508851,75.75665159051002,-26.79455716099955,1.747506482139631
196,Trend_SMA28+ROC15>3%,78.88489154318322,252.02972995313297,-68.70016423941235,75.06529877098482,-39.67447960816887,1.4403437285240008
197,Trend_SMA25+ROC18>3%,78.79204216966176,252.02972995313297,-68.7370048825931,75.03886823826677,-56.21479411831679,1.4045554189147609
198,EMA15>SMA32+ROC15>0,77.02521256721698,252.02972995313297,-69.43804503478997,74.5306751086227,-33.5203966152336,1.4717522326970047
199,DualMom_ROC10&25+SMA32,76.77690008263559,252.02972995313297,-69.53657011142577,74.45844034051218,-36.05276081933749,1.4894944424285468
200,DualMom_ROC10&25+SMA30,76.68342640082476,252.02972995313297,-69.57365846676713,74.43119582253597,-36.05276081933748,1.4784887795149289
201,EMA8>SMA25+ROC15>0,75.75830235931537,252.02972995313297,-69.9407278762695,74.1599796952842,-48.22583887554797,1.393141835861601
202,Trend_SMA25+ROC10>3%,75.29026799088564,252.02972995313297,-70.12643389139588,74.02166569510935,-46.3495821539598,1.4904924601472214
203,Trend_SMA25+ROC15>5%,75.16471357094538,252.02972995313297,-70.17625119666522,73.9844342267034,-33.81140409007042,1.519104176407803
204,Trend_SMA30+ROC10>3%,74.44552047223907,252.02972995313297,-70.46161161777111,73.77011649874086,-36.08263762497568,1.4977062722949266
205,Trend_SMA30+ROC15>5%,72.93851474610473,252.02972995313297,-71.05955921959355,73.31511455025483,-33.30398591930553,1.5310156842087586
206,Trend_SMA35+ROC10>0%,72.47804311385951,252.02972995313297,-71.24226450294677,73.17445203310157,-43.022045227196834,1.4674978358741502
207,Price>0%_SMA35+ROC10>0,72.47804311385951,252.02972995313297,-71.24226450294677,73.17445203310157,-43.022045227196834,1.4674978358741502
208,EMA15>SMA25+ROC20>0,71.96659178089087,252.02972995313297,-71.44519743989186,73.01730029926878,-55.22522953454298,1.324112180590894
209,Trend_SMA35+ROC15>3%,71.65739836186786,252.02972995313297,-71.56787876763858,72.92182272668776,-37.1792224747446,1.4178098088049067
210,EMA12>SMA32+ROC15>0,71.17944487301729,252.02972995313297,-71.7575204773446,72.77352370174772,-37.269782238521344,1.439424333940465
211,Trend_SMA32+ROC10>3%,70.54530398378208,252.02972995313297,-72.00913400300013,72.57541716049461,-35.7603713803987,1.525502995817959
212,DualMom_ROC10&25+SMA28,70.46677809504254,252.02972995313297,-72.04029139413575,72.55077763852118,-36.05276081933747,1.479262346510305
213,Trend_SMA28+ROC10>3%,70.14605980896809,252.02972995313297,-72.16754554234045,72.44989482015734,-38.422257650198134,1.5037787151087632
214,MA_Slope_SMA30↑+ROC15>0,69.72669830938568,252.02972995313297,-72.333939205366,72.31737510216512,-33.8481551061474,1.4801196143984128
215,Trend_SMA30+ROC18>5%,69.30568023714004,252.02972995313297,-72.50099016095123,72.18363108567341,-36.372171592682946,1.4185890902148814
216,Trend_SMA32+ROC15>5%,68.05923787204426,252.02972995313297,-72.99555180069413,71.78348111469539,-33.332227855898275,1.523701537467893
217,EMA15>SMA28+ROC15>0,66.19952637239854,252.02972995313297,-73.73344550077132,71.17440884559636,-42.80868905052769,1.3994752795894958
218,DualMom_ROC10&30+SMA30,65.13981335603992,252.02972995313297,-74.15391693346923,70.8206394145672,-32.30897688727802,1.4501250241580563
219,Trend_SMA28+ROC10>0%,65.08687020550494,252.02972995313297,-74.17492364190194,70.80283386823636,-42.0613387556145,1.3933787588925979
220,Price>0%_SMA28+ROC10>0,65.08687020550494,252.02972995313297,-74.17492364190194,70.80283386823636,-42.0613387556145,1.3933787588925979
221,DualMom_ROC10&20+SMA28,64.69233589520006,252.02972995313297,-74.33146640785984,70.66974718781773,-49.29849236923841,1.382906615749129
222,Trend_SMA35+ROC10>3%,64.11469653445157,252.02972995313297,-74.56066133690885,70.47361233904618,-41.80790391782536,1.499724782553907
223,Trend_SMA25+ROC10>0%,63.8883368396658,252.02972995313297,-74.65047601664043,70.39633257823719,-54.319067333603535,1.3511469549296462
224,Price>0%_SMA25+ROC10>0,63.8883368396658,252.02972995313297,-74.65047601664043,70.39633257823719,-54.319067333603535,1.3511469549296462
225,Trend_SMA28+ROC15>5%,63.81199482008656,252.02972995313297,-74.68076689525758,70.3702153911188,-34.28583442369417,1.4952566866988608
226,Trend_SMA32+ROC18>5%,63.72515208121263,252.02972995313297,-74.71522423443344,70.340472689544,-36.372171592682925,1.4158250881488301
227,Trend_SMA35+ROC15>5%,62.09183614256411,252.02972995313297,-75.36328902383437,69.77439205130335,-38.79949983589191,1.4687044506128741
228,MA_Slope_SMA28↑+ROC15>0,61.32025983504521,252.02972995313297,-75.66943398048784,69.50244853332686,-34.84447536133198,1.3903937949400131
229,AccelMom_SMA28+Mom15↑,59.03568154100438,252.02972995313297,-76.5759057266845,68.6793764685689,-33.312761269374825,1.6338235276943318
230,DualMom_ROC10&30+SMA28,58.5545091473984,252.02972995313297,-76.76682462886934,68.50249025803114,-34.21531059919842,1.4074206762695387
231,EMA12>SMA25+ROC15>0,58.340066478971686,252.02972995313297,-76.85191088772721,68.42324937817916,-50.91609180922213,1.3120364139292071
232,EMA10>SMA25+ROC15>0,58.20401342578313,252.02972995313297,-76.90589382585671,68.37284327912256,-50.57673267920114,1.3085357825714388
233,DualMom_ROC10&30+SMA32,55.28118568298218,252.02972995313297,-78.06560928614962,67.26436713661856,-32.30897688727802,1.4329399070598405
234,Trend_SMA30+ROC10>2%,55.02096932747682,252.02972995313297,-78.16885756386422,67.1632205441234,-39.99905341543772,1.3602678063221405
235,MTF_10_25_50+ROC15>5%,54.71557408185933,252.02972995313297,-78.29003185773593,67.04397952598819,-28.29029753248662,1.6400790219865558
236,Trend_SMA35+ROC18>5%,54.57809068447784,252.02972995313297,-78.34458232581247,66.99010988788608,-36.37217159268294,1.352563092112002
237,EMA15>SMA25+ROC15>0,54.18446389913967,252.02972995313297,-78.5007650052969,66.83521960586557,-50.36318522967811,1.342839841032514
238,Trend_SMA28+ROC18>5%,53.93263571910127,252.02972995313297,-78.60068503460663,66.7356110704639,-36.82459498269147,1.3473801620537005
239,EMA10>SMA30+ROC10>0,53.45065193400139,252.02972995313297,-78.79192587956152,66.54383037005903,-35.057963299879084,1.419016195927883
240,EMA12>SMA30+ROC10>0,53.19934809190762,252.02972995313297,-78.89163786280274,66.44323819411437,-35.25695102862986,1.4183576686384065
